WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
45,1,0,16,92,620,0,16,28,0.7045,1261,0.7143,0,0,0.2114,0,0,26.8667,25,9,0.0038,NotFaulty
5,1,0,4,16,6,0,4,5,0.375,75,1,0,0,0.6,0,0,13.6,230,3,0.0007,NotFaulty
5,1,0,5,14,2,0,5,5,0.375,56,1,0,0,0.4667,0,0,9.8,231,3,0.0005,NotFaulty
6,1,0,3,16,0,0,3,5,0.65,92,1,0,0,0.45,0,0,13.6667,194,4,0,NotFaulty
9,1,0,4,19,28,0,4,9,0.6875,91,1,0,0,0.2381,0,0,8.8889,131,3,0.0012,NotFaulty
5,1,0,4,16,6,0,4,5,0.375,77,1,0,0,0.4667,0,0,14,237,3,0.0007,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1188,1,0,NotFaulty
6,1,0,5,18,7,0,5,6,0.65,163,1,0,0,0.3333,1,1,25.5,200,5,0.0012,NotFaulty
6,1,0,4,15,7,0,4,6,0.65,106,1,0,0,0.3333,0,0,16,202,5,0.0007,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1213,1,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.5556,0,0,0,405,1,0,NotFaulty
3,1,0,1,9,1,0,1,3,0.5,28,1,0,0,0.8333,0,0,8,406,2,0,NotFaulty
2,1,0,3,4,0,0,3,2,0,15,1,0,0,0.75,0,0,6,611,1,0,NotFaulty
4,1,0,2,4,6,0,2,4,2,4,0,0,0,1,0,0,0,306,1,0,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,1,0,0,0,614,1,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,615,1,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1231,1,0,NotFaulty
0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,1232,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1233,1,0,NotFaulty
9,1,0,7,15,36,0,7,9,2,110,0,0,0,0.5556,0,0,11.2222,138,7,0.0021,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1249,1,0,NotFaulty
