WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1005,1,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1006,1,0,NotFaulty
5,1,0,1,14,0,0,1,5,0.4167,180,0.3333,0,0,0.8,1,1,34.4,206,13,0,NotFaulty
5,1,0,1,14,0,0,1,5,0.3125,251,0.25,0,0,0.8,1,1,48.4,214,19,0,NotFaulty
5,1,0,1,14,0,0,1,5,0.25,322,0.2,0,0,0.8,1,1,62.4,224,25,0,NotFaulty
6,1,0,4,11,13,0,4,4,0.8,38,0,0,0,0.4,0,0,5.1667,187,1,0,NotFaulty
5,1,0,4,10,4,0,4,4,0,70,0,0,0,0.4,0,0,12.8,226,2,0,Faulty
5,1,0,2,10,10,0,2,4,2,134,0,0,0,0.4333,0,0,25.8,229,8,0,Faulty
8,3,0,2,17,0,0,2,7,0,65,0,0,0.7308,0.5,2,10,7,144,3,0,Faulty
5,2,0,2,10,0,0,2,4,0,31,0,0,0.8,0.4667,1,5,5,232,1,0,Faulty
9,3,0,2,21,0,0,2,8,0,108,0,0,0.7037,0.3889,2,11,10.8889,131,4,0,Faulty
6,1,0,1,12,0,0,1,5,0.2,69,0.5,0,0,0.5556,1,1,10.1667,198,3,0,NotFaulty
7,1,0,4,17,0,0,4,2,0.5667,436,0.8,0,0,0.4286,0,0,60.5714,174,11,0,Faulty
1,1,0,1,2,0,0,1,0,2,10,0,0,0,1,0,0,3,1219,1,0,NotFaulty
5,1,0,3,16,4,0,3,5,0,116,1,0,0,0.4,0,0,22,245,3,0,NotFaulty
1,1,0,0,2,0,0,0,0,2,16,0,0,0,1,0,0,12,1228,1,0,NotFaulty
4,1,0,2,16,0,0,2,4,0.3333,57,1,0,0,0.75,0,0,13,338,3,0,NotFaulty
